1. 나폴레옹 보나파르트 (Napoleon Bonaparte) | Slug: napoleon-bonaparte | Category: leadership | Era: 19세기의 거인 (18세기 ~ 19세기)
2. 세종대왕 (King Sejong the Great) | Slug: king-sejong | Category: leadership | Era: 15세기의 거인
3. 징기스칸 (Genghis Khan) | Slug: genghis-khan | Category: leadership | Era: 13세기의 거인 (12세기 ~ 13세기)
4. 알렉산더 대왕 (Alexander the Great) | Slug: alexander-the-great | Category: leadership | Era: 기원전 4세기의 거인
5. 월트 디즈니 (Walt Disney) | Slug: walt-disney | Category: arts | Era: 20세기의 거인
6. 토마스 에디슨 (Thomas Edison) | Slug: thomas-edison | Category: science | Era: 19세기의 거인 (19세기 ~ 20세기)
7. 율리우스 카이사르 (Julius Caesar) | Slug: julius-caesar | Category: leadership | Era: 기원전 1세기의 거인
8. 헨리 포드 (Henry Ford) | Slug: henry-ford | Category: business | Era: 20세기의 거인
9. 프리다 칼로 (Frida Kahlo) | Slug: frida-kahlo | Category: arts | Era: 20세기의 거인 (1907~1954)
10. 키케로 (Cicero) | Slug: cicero | Category: philosophy | Era: 기원전 1세기
11. 헬렌 켈러 (Helen Keller) | Slug: helen-keller | Category: society | Era: 19-20세기
12. 루드비히 판 베토벤 (Ludwig van Beethoven) | Slug: beethoven | Category: arts | Era: 18~19세기의 거인 (1770~1827)
13. 프랭클린 루스벨트 (Franklin D. Roosevelt) | Slug: franklin-d-roosevelt | Category: leadership | Era: 20세기의 거인 (1882~1945)
14. 마르쿠스 아우렐리우스 (Marcus Aurelius) | Slug: marcus-aurelius | Category: philosophy | Era: 2세기의 거인 (121~180)
15. 세네카 (Seneca) | Slug: seneca | Category: philosophy | Era: 1세기의 거인 (기원전 4~서기 65)
16. 공자 (Confucius) | Slug: confucius | Category: philosophy | Era: 기원전 6-5세기
17. 소크라테스 (Socrates) | Slug: socrates | Category: philosophy | Era: 기원전 5세기경
18. 노자 (Laozi) | Slug: lao-tzu | Category: philosophy | Era: 기원전 6세기경
19. 아리스토텔레스 (Aristotle) | Slug: aristotle | Category: philosophy | Era: 기원전 4세기경
20. 플라톤 (Plato) | Slug: plato | Category: philosophy | Era: 기원전 5-4세기경
21. 레오나르도 다 빈치 (Leonardo da Vinci) | Slug: leonardo-da-vinci | Category: arts | Era: 15-16세기
22. 모차르트 (Wolfgang Amadeus Mozart) | Slug: mozart | Category: arts | Era: 18세기
23. 윌리엄 셰익스피어 (William Shakespeare) | Slug: william-shakespeare | Category: arts | Era: 16-17세기
24. 알베르트 아인슈타인 (Albert Einstein) | Slug: albert-einstein | Category: science | Era: 20세기
25. 마리 퀴리 (Marie Curie) | Slug: marie-curie | Category: science | Era: 19-20세기
26. 니콜라 테슬라 (Nikola Tesla) | Slug: nikola-tesla | Category: science | Era: 19~20세기의 거인 (1856~1943)
27. 빈센트 반 고흐 (Vincent van Gogh) | Slug: vincent-van-gogh | Category: arts | Era: 19세기
28. 에이브러햄 링컨 (Abraham Lincoln) | Slug: abraham-lincoln | Category: leadership | Era: 19세기
29. 조지 워싱턴 (George Washington) | Slug: george-washington | Category: leadership | Era: 18세기
30. 이순신 (Yi Sun-sin) | Slug: yi-sun-shin | Category: leadership | Era: 16세기
31. 엘리자베스 1세 (Elizabeth I) | Slug: elizabeth-i | Category: leadership | Era: 16세기
32. 광개토대왕 (Gwanggaeto the Great) | Slug: gwanggaeto-the-great | Category: leadership | Era: 4-5세기
33. 윈스턴 처칠 (Winston Churchill) | Slug: winston-churchill | Category: leadership | Era: 20세기
34. 진시황 (Qin Shi Huang) | Slug: qin-shi-huang | Category: leadership | Era: 기원전 3세기
35. 아우구스투스 (Augustus) | Slug: augustus | Category: leadership | Era: 기원전 1세기 ~ 1세기
36. 오토 폰 비스마르크 (Otto von Bismarck) | Slug: otto-von-bismarck | Category: leadership | Era: 19세기
37. 표트르 대제 (Peter the Great) | Slug: peter-the-great | Category: leadership | Era: 17-18세기
38. 캐서린 대제 (Catherine the Great) | Slug: catherine-the-great | Category: leadership | Era: 18세기
39. 시몬 볼리바르 (Simon Bolivar) | Slug: simon-bolivar | Category: leadership | Era: 19세기
40. 존 D. 록펠러 (John D Rockefeller) | Slug: john-d-rockefeller | Category: business | Era: 19-20세기
41. 무스타파 케말 아타튀르크 (Ataturk) | Slug: ataturk | Category: leadership | Era: 19-20세기
42. 테오도르 루스벨트 (Theodore Roosevelt) | Slug: theodore-roosevelt | Category: leadership | Era: 19-20세기
43. 안네 프랑크 (Anne Frank) | Slug: anne-frank | Category: society | Era: 20세기
44. 로자 파크스 (Rosa Parks) | Slug: rosa-parks | Category: society | Era: 20세기
45. 프레데릭 더글러스 (Frederick Douglass) | Slug: frederick-douglass | Category: society | Era: 19세기
46. 해리엇 터브먼 (Harriet Tubman) | Slug: harriet-tubman | Category: society | Era: 19-20세기
47. 플로렌스 나이팅게일 (Florence Nightingale) | Slug: florence-nightingale | Category: society | Era: 19세기
48. 유관순 (Yu Gwan Sun) | Slug: yu-gwan-sun | Category: society | Era: 20세기
49. 루이 브라이유 (Louis Braille) | Slug: louis-braille | Category: science | Era: 19세기
50. 잔 다르크 (Joan Of Arc) | Slug: joan-of-arc | Category: leadership | Era: 15세기
51. 해리엇 비처 스토 (Harriet Beecher Stowe) | Slug: harriet-beecher-stowe | Category: society | Era: 19세기
52. 김구 (Kim Gu) | Slug: kim-gu | Category: leadership | Era: 19-20세기
53. 붓다 (Buddha) | Slug: buddha | Category: philosophy | Era: 기원전 6-5세기
54. 프리드리히 니체 (Friedrich Nietzsche) | Slug: friedrich-nietzsche | Category: philosophy | Era: 19세기
55. 이마누엘 칸트 (Immanuel Kant) | Slug: immanuel-kant | Category: philosophy | Era: 18-19세기
56. 르네 데카르트 (Rene Descartes) | Slug: rene-descartes | Category: philosophy | Era: 17세기
57. 장 자크 루소 (Jean Jacques Rousseau) | Slug: jean-jacques-rousseau | Category: philosophy | Era: 18세기
58. 지그문트 프로이트 (Sigmund Freud) | Slug: sigmund-freud | Category: philosophy | Era: 19-20세기
59. 칼 융 (Carl Jung) | Slug: carl-jung | Category: philosophy | Era: 19-20세기
60. 바뤼흐 스피노자 (Baruch Spinoza) | Slug: baruch-spinoza | Category: philosophy | Era: 17세기
61. 손무 (Sun Tzu) | Slug: sun-tzu | Category: philosophy | Era: 기원전 6-5세기
62. 데이비드 흄 (David Hume) | Slug: david-hume | Category: philosophy | Era: 18세기
63. 존 로크 (John Locke) | Slug: john-locke | Category: philosophy | Era: 17-18세기
64. 시몬 드 보부아르 (Simone De Beauvoir) | Slug: simone-de-beauvoir | Category: philosophy | Era: 20세기
65. 한나 아렌트 (Hannah Arendt) | Slug: hannah-arendt | Category: philosophy | Era: 20세기
66. 쇠렌 키에르케고르 (Soren Kierkegaard) | Slug: soren-kierkegaard | Category: philosophy | Era: 19세기
67. 아르투어 쇼펜하우어 (Arthur Schopenhauer) | Slug: arthur-schopenhauer | Category: philosophy | Era: 19세기
68. 아이작 뉴턴 (Isaac Newton) | Slug: isaac-newton | Category: science | Era: 17-18세기
69. 갈릴레오 갈릴레이 (Galileo Galilei) | Slug: galileo-galilei | Category: science | Era: 16-17세기
70. 찰스 다윈 (Charles Darwin) | Slug: charles-darwin | Category: science | Era: 19세기
71. 미켈란젤로 (Michelangelo) | Slug: michelangelo | Category: arts | Era: 15-16세기
72. 클로드 모네 (Claude Monet) | Slug: claude-monet | Category: arts | Era: 19-20세기
73. 표도르 도스토옙스키 (Fyodor Dostoevsky) | Slug: fyodor-dostoevsky | Category: arts | Era: 19세기
74. 빅토르 위고 (Victor Hugo) | Slug: victor-hugo | Category: arts | Era: 19세기
75. 안톤 체호프 (Anton Chekhov) | Slug: anton-chekhov | Category: arts | Era: 19-20세기
76. 프레데리크 쇼팽 (Frederic Chopin) | Slug: frederic-chopin | Category: arts | Era: 19세기
77. 카츠시카 호쿠사이 (Katsushika Hokusai) | Slug: katsushika-hokusai | Category: arts | Era: 18-19세기
78. 애가사 크리스티 (Agatha Christie) | Slug: agatha-christie | Category: arts | Era: 20세기
79. 마크 트웨인 (Mark Twain) | Slug: mark-twain | Category: arts | Era: 19-20세기
80. 요한 볼프강 폰 괴테 (Goethe) | Slug: goethe | Category: arts | Era: 18-19세기
81. 메리 셸리 (Mary Shelley) | Slug: mary-shelley | Category: arts | Era: 19세기
82. Alexander Fleming (Alexander Fleming) | Slug: alexander-fleming | Category: science | Era: 1881-1955
83. Alexander Hamilton (Alexander Hamilton) | Slug: alexander-hamilton | Category: leadership | Era: 1755-1804
84. Benjamin Franklin (Benjamin Franklin) | Slug: benjamin-franklin | Category: philosophy | Era: 1706-1790
85. Francis Bacon (Francis Bacon) | Slug: francis-bacon | Category: philosophy | Era: 1561-1626
86. Johannes Kepler (Johannes Kepler) | Slug: johannes-kepler | Category: science | Era: 1571-1630
87. John F. Kennedy (John F Kennedy) | Slug: john-f-kennedy | Category: leadership | Era: 1917-1963
88. Queen Victoria (Queen Victoria) | Slug: queen-victoria | Category: leadership | Era: 1819-1901
89. Thomas Jefferson (Thomas Jefferson) | Slug: thomas-jefferson | Category: leadership | Era: 1743-1826
90. Ahn Jung-geun (Ahn Jung Geun) | Slug: ahn-jung-geun | Category: leadership | Era: 1879-1910
91. Empress Wu Zetian (Empress Wu Zetian) | Slug: empress-wu-zetian | Category: leadership | Era: 624 – 705
92. Jeong Yak-yong (Jeong Yak Yong) | Slug: jeong-yak-yong | Category: philosophy | Era: 1762-1836
93. Mencius (Mencius) | Slug: mencius | Category: philosophy | Era: 372 BC – 289 BC
94. Sima Qian (Sima Qian) | Slug: sima-qian | Category: arts | Era: 145 BC – 86 BC
95. Zhuangzi (Zhuangzi) | Slug: zhuangzi | Category: philosophy | Era: 369 BC – 286 BC
96. Zhuge Liang (Zhuge Liang) | Slug: zhuge-liang | Category: leadership | Era: 181 – 234
97. Ashoka the Great (Ashoka The Great) | Slug: ashoka-the-great | Category: leadership | Era: 304BC-232BC
98. King Jeongjo (King Jeongjo) | Slug: king-jeongjo | Category: leadership | Era: 18th Century Giant
99. Li Bai (Li Bai) | Slug: li-bai | Category: arts | Era: Tang Dynasty (701–762)
100. Miyamoto Musashi (Miyamoto Musashi) | Slug: miyamoto-musashi | Category: philosophy | Era: 1584-1645
101. Oda Nobunaga (Oda Nobunaga) | Slug: oda-nobunaga | Category: leadership | Era: 1534-1582
102. Sun Yat-sen (Sun Yat Sen) | Slug: sun-yat-sen | Category: leadership | Era: 1866-1925
103. Tokugawa Ieyasu (Tokugawa Ieyasu) | Slug: tokugawa-ieyasu | Category: leadership | Era: 1543-1616
104. Toyotomi Hideyoshi (Toyotomi Hideyoshi) | Slug: toyotomi-hideyoshi | Category: leadership | Era: 1537-1598
105. King Chulalongkorn (Chulalongkorn) | Slug: chulalongkorn | Category: leadership | Era: Late 19th - Early 20th Century
106. Hannibal Barca (Hannibal Barca) | Slug: hannibal-barca | Category: leadership | Era: 3rd - 2nd Century BC
107. Ibn Battuta (Ibn Battuta) | Slug: ibn-battuta | Category: society | Era: 14th Century
108. Jayavarman VII (Jayavarman VII) | Slug: jayavarman-vii | Category: leadership | Era: 12th - 13th Century
109. Mansa Musa (Mansa Musa) | Slug: mansa-musa | Category: leadership | Era: 14th Century
110. Shaka Zulu (Shaka Zulu) | Slug: shaka-zulu | Category: leadership | Era: Late 18th - Early 19th Century
111. Al-Khwarizmi (Al Khwarizmi) | Slug: al-khwarizmi | Category: science | Era: 9세기
112. B.R. Ambedkar (Br Ambedkar) | Slug: br-ambedkar | Category: society | Era: 20세기 중반
113. Chandragupta Maurya (Chandragupta Maurya) | Slug: chandragupta-maurya | Category: leadership | Era: 기원전 4세기
114. Omar Khayyam (Omar Khayyam) | Slug: omar-khayyam | Category: science | Era: 11세기~12세기
115. Robert Oppenheimer (Robert Oppenheimer) | Slug: robert-oppenheimer | Category: science | Era: 20세기 중반
116. Saladin (Saladin) | Slug: saladin | Category: leadership | Era: 12세기
117. Srinivasa Ramanujan (Srinivasa Ramanujan) | Slug: srinivasa-ramanujan | Category: science | Era: 20세기 초
118. Suleiman the Magnificent (Suleiman The Magnificent) | Slug: suleiman-the-magnificent | Category: leadership | Era: 16세기
119. Swami Vivekananda (Swami Vivekananda) | Slug: swami-vivekananda | Category: philosophy | Era: 19세기 후반
120. Wright Brothers (Wright Brothers) | Slug: wright-brothers | Category: science | Era: 19세기 후반 ~ 20세기 초
121. Adam Smith (Adam Smith) | Slug: adam-smith | Category: philosophy | Era: Enlightenment
122. Archimedes (Archimedes) | Slug: archimedes | Category: science | Era: Hellenistic period
123. Nicolaus Copernicus (Copernicus) | Slug: copernicus | Category: science | Era: Renaissance
124. Dante Alighieri (Dante Alighieri) | Slug: dante-alighieri | Category: arts | Era: Middle Ages
125. Johannes Gutenberg (Johannes Gutenberg) | Slug: johannes-gutenberg | Category: science | Era: Renaissance
126. Louis Pasteur (Louis Pasteur) | Slug: louis-pasteur | Category: science | Era: 19th Century
127. Niccolò Machiavelli (Machiavelli) | Slug: machiavelli | Category: philosophy | Era: Renaissance
128. Voltaire (Voltaire) | Slug: voltaire | Category: philosophy | Era: Age of Enlightenment
129. Alexander Graham Bell (Alexander Graham Bell) | Slug: alexander-graham-bell | Category: science | Era: 19th-20th Century
130. Amelia Earhart (Amelia Earhart) | Slug: amelia-earhart | Category: business | Era: 20th Century
131. Andrew Carnegie (Andrew Carnegie) | Slug: andrew-carnegie | Category: business | Era: 19th-20th Century
132. Edgar Allan Poe (Edgar Allan Poe) | Slug: edgar-allan-poe | Category: arts | Era: 19th Century
133. Ernest Hemingway (Ernest Hemingway) | Slug: ernest-hemingway | Category: arts | Era: 20th Century
134. Henry David Thoreau (Henry David Thoreau) | Slug: henry-david-thoreau | Category: philosophy | Era: 19th Century
135. J.P. Morgan (Jp Morgan) | Slug: jp-morgan | Category: business | Era: 19th-20th Century
136. Ralph Waldo Emerson (Ralph Waldo Emerson) | Slug: ralph-waldo-emerson | Category: philosophy | Era: 19th Century
137. Susan B. Anthony (Susan B Anthony) | Slug: susan-b-anthony | Category: society | Era: 19th Century
138. Walt Whitman (Walt Whitman) | Slug: walt-whitman | Category: arts | Era: 19th Century
139. Max Planck (Max Planck) | Slug: max-planck | Category: science | Era: Late 19th - Mid 20th Century
140. Hypatia (Hypatia) | Slug: hypatia | Category: science | Era: Late Antiquity
141. Ibn al-Haytham (Ibn Al Haytham) | Slug: ibn-al-haytham | Category: science | Era: Late 10th to Early 11th Century
142. Blaise Pascal (Blaise Pascal) | Slug: blaise-pascal | Category: science | Era: 17th Century
143. Dmitri Mendeleev (Dmitri Ivanovich Mendeleev) | Slug: dmitri-mendeleev | Category: science | Era: 19th Century
144. Ada Lovelace (Ada Lovelace) | Slug: ada-lovelace | Category: science | Era: 19th Century
145. Alan Turing (Alan Turing) | Slug: alan-turing | Category: science | Era: 20th Century
146. Charles Babbage (Charles Babbage) | Slug: charles-babbage | Category: science | Era: 19th Century
147. Ibn Sina (Ibn Sina) | Slug: ibn-sina | Category: science | Era: Late 10th - Early 11th Century
148. James Watt (James Watt) | Slug: james-watt | Category: science | Era: 18th Century
149. George Stephenson (George Stephenson) | Slug: george-stephenson | Category: science | Era: 19th Century
150. Gregor Mendel (Gregor Mendel) | Slug: gregor-mendel | Category: science | Era: 19th Century
151. Antoine Lavoisier (Antoine Lavoisier) | Slug: antoine-lavoisier | Category: science | Era: 18th Century
152. Li Shizhen (Li Shizhen) | Slug: li-shizhen | Category: science | Era: Ming Dynasty
153. Guglielmo Marconi (Guglielmo Marconi) | Slug: guglielmo-marconi | Category: science | Era: Late 19th - Early 20th Century
154. Robert Koch (Robert Koch) | Slug: robert-koch | Category: science | Era: 19th Century
155. Thomas Aquinas (Thomas Aquinas) | Slug: thomas-aquinas | Category: science | Era: High Middle Ages
156. Rumi (Rumi) | Slug: rumi | Category: science | Era: 13th Century
157. Ibn Rushd (Ibn Rushd) | Slug: ibn-rushd | Category: science | Era: 12th Century Islamic Golden Age
158. William James (William James) | Slug: william-james | Category: science | Era: 19th Century
159. Friedrich Schiller (Friedrich Schiller) | Slug: friedrich-schiller | Category: science | Era: Late 18th - Early 19th Century
160. George Washington Carver (George Washington Carver) | Slug: george-washington-carver | Category: science | Era: Late 19th - Early 20th Century
161. Al-Ghazali (Al Ghazali) | Slug: al-ghazali | Category: philosophy | Era: Late 11th - Early 12th Century
162. Ibn Khaldun (Ibn Khaldun) | Slug: ibn-khaldun | Category: science | Era: 14th Century
