slug,name_ko,name_en,birth_year,death_year,is_living,era,region,category,wikidata_qid,wikiSlug,epic_ko_length
"a-p-j-abdul-kalam","a-p-j-abdul-kalam","a-p-j-abdul-kalam","1931","2015","false","20세기의 거인 (1931~2015)","남아시아","science","","","2540"
"aaron-copland","aaron-copland","aaron-copland","1900","1990","false","20세기의 거인 (1900~1990)","유럽","arts","","","2430"
"abbas-the-great","abbas-the-great","abbas-the-great","1571","1629","false","16세기의 거인 (1571~1629)","중동/북아프리카","leadership","","","2496"
"aeschylus","aeschylus","aeschylus","","","false","기원전 5세기의 거인 (기원전 525~기원전 456)","중동/북아프리카","arts","","","1924"
"ahmad-sanjar","ahmad-sanjar","ahmad-sanjar","1085","1157","false","12세기의 거인 (1085~1157)","서/남아프리카","leadership","","","2418"
"akira-kurosawa","akira-kurosawa","akira-kurosawa","1910","1998","false","20세기의 거인 (1910~1998)","동아시아","arts","","","1933"
"al-zahrawi","al-zahrawi","al-zahrawi","936","1013","true","10세기의 거인 (936~1013)","중동/북아프리카","science","","","2296"
"albert-camus","albert-camus","albert-camus","1913","1960","false","20세기의 거인 (1913~1960)","유럽","arts","","","1917"
"alessandro-volta","alessandro-volta","alessandro-volta","1745","1827","false","18세기의 거인 (1745~1827)","서/남아프리카","science","","","2644"
"alexander-calder","alexander-calder","alexander-calder","1898","1976","false","20세기의 거인 (1898~1976)","유럽","arts","","","2076"
"alexandre-dumas","alexandre-dumas","alexandre-dumas","1802","1870","false","19세기의 거인 (1802~1870)","서/남아프리카","arts","","","1946"
"alfred-adler","alfred-adler","alfred-adler","1870","1937","false","20세기의 거인 (1870~1937)","유럽","science","","","2695"
"alfred-hitchcock","alfred-hitchcock","alfred-hitchcock","1899","1980","false","20세기의 거인 (1899~1980)","유럽","arts","","","2036"
"alice-ball","alice-ball","alice-ball","1892","1916","false","20세기의 거인 (1892~1916)","서/남아프리카","science","","","2509"
"alice-hamilton","alice-hamilton","alice-hamilton","1869","1970","true","20세기의 거인 (1869~1970)","유럽","science","","","2448"
"alvar-aalto","alvar-aalto","alvar-aalto","1898","1976","false","20세기의 거인 (1898~1976)","유럽","arts","","","2015"
"ambroise-pare","ambroise-pare","ambroise-pare","1510","1590","true","16세기의 거인 (1510~1590)","유럽","science","","","2747"
"amedeo-avogadro","amedeo-avogadro","amedeo-avogadro","1776","1856","false","19세기의 거인 (1776~1856)","유럽","science","","","2509"
"andre-marie-ampere","andre-marie-ampere","andre-marie-ampere","1775","1836","false","19세기의 거인 (1775~1836)","유럽","science","","","2430"
"andreas-vesalius","andreas-vesalius","andreas-vesalius","1514","1564","false","16세기의 거인 (1514~1564)","유럽","science","","","2537"
"andy-warhol","andy-warhol","andy-warhol","1928","1987","false","20세기의 거인 (1928~1987)","북미","arts","","","1910"
"angelina-grimke","angelina-grimke","angelina-grimke","1805","1879","false","19세기의 거인 (1805~1879)","북미","society","","","2534"
"anne-sullivan","anne-sullivan","anne-sullivan","1866","1936","false","20세기의 거인 (1866~1936)","북미","society","","","2521"
