번호,영문명,Q-ID,매칭된 라이브 slug,매칭 근거
58,"Amina of Zazzau",Q2843390,amina-of-zazzau,"Live 493 Duplicate (amina-of-zazzau)"
75,"Gottfried Wilhelm Leibniz",Q9047,gottfried-leibniz,"Live 493 Duplicate (gottfried-leibniz)"
139,"Gwanggaeto the Great",Q498791,gwanggaeto-the-great,"Live 493 Duplicate (gwanggaeto-the-great)"
144,"Wu Zetian",Q9738,empress-wu-zetian,"Live 493 Duplicate (empress-wu-zetian)"
148,"Laozi",Q9333,lao-tzu,"Live 493 Duplicate (lao-tzu)"
153,"Ashoka",Q8589,ashoka-the-great,"Live 493 Duplicate (ashoka-the-great)"
154,"Akbar",Q8597,akbar-the-great,"Live 493 Duplicate (akbar-the-great)"
159,"Avicenna",Q8011,ibn-sina,"Live 493 Duplicate (ibn-sina)"
160,"Averroes",Q39837,ibn-rushd,"Live 493 Duplicate (ibn-rushd)"
163,"René Descartes",Q9191,rene-descartes,"Live 493 Duplicate (rene-descartes)"
165,"Johann Wolfgang von Goethe",Q5879,goethe,"Live 493 Duplicate (goethe)"
166,"Ludwig van Beethoven",Q255,beethoven,"Live 493 Duplicate (beethoven)"
168,"Wolfgang Amadeus Mozart",Q254,mozart,"Live 493 Duplicate (mozart)"
169,"Niccolò Machiavelli",Q1399,machiavelli,"Live 493 Duplicate (machiavelli)"
172,"Søren Kierkegaard",Q6512,soren-kierkegaard,"Live 493 Duplicate (soren-kierkegaard)"
186,"Cleopatra",Q635,cleopatra-vii,"Live 493 Duplicate (cleopatra-vii)"
187,"Sejong the Great",Q37682,king-sejong,"Live 493 Duplicate (king-sejong)"
200,"Darius the Great",Q44387,darius-i,"Live 493 Duplicate (darius-i)"
202,"Ramesses II",Q1523,ramesses-ii,"Live 493 Duplicate (ramesses-ii)"
210,"Giuseppe Garibaldi",Q539,giuseppe-garibaldi,"Live 493 Duplicate (giuseppe-garibaldi)"
216,"Boudica",Q184634,boudicca,"Live 493 Duplicate (boudicca)"
228,"Helen Keller",Q38203,helen-keller,"Live 493 Duplicate (helen-keller)"
236,"J. Robert Oppenheimer",Q132537,robert-oppenheimer,"Live 493 Duplicate (robert-oppenheimer)"
317,"Nicolaus Copernicus",Q619,copernicus,"Live 493 Duplicate (copernicus)"
318,"Carl Friedrich Gauss",Q6722,,"Internal Duplicate of Candidate #286"
342,"Niccolò Machiavelli",Q1399,machiavelli,"Internal Duplicate of Candidate #169 / Live 493 Duplicate (machiavelli)"
348,"Geoffrey Chaucer",Q5683,chaucer,"Live 493 Duplicate (chaucer)"
371,"Francisco Goya",Q5432,francisco-de-goya,"Live 493 Duplicate (francisco-de-goya)"
402,"Johann Sebastian Bach",Q1339,,"Internal Duplicate of Candidate #293"
403,"Wolfgang Amadeus Mozart",Q254,mozart,"Internal Duplicate of Candidate #168 / Live 493 Duplicate (mozart)"
408,"Pyotr Ilyich Tchaikovsky",Q7315,pyotr-ilyich-tchaikovsky,"Live 493 Duplicate (pyotr-ilyich-tchaikovsky)"
481,"Mehmed II",Q34503,mehmed-the-conqueror,"Live 493 Duplicate (mehmed-the-conqueror)"
483,"Abbas the Great",Q171349,abbas-i-of-persia,"Live 493 Duplicate (abbas-i-of-persia)"
486,"Baybars",Q192960,baybars,"Live 493 Duplicate (baybars)"
487,"Timur",Q8462,timur-tamerlane,"Live 493 Duplicate (timur-tamerlane)"
490,"Nader Shah",Q192868,nader-shah,"Live 493 Duplicate (nader-shah)"
201,"Mustafa Kemal Atatürk",Q5152,mustafa-kemal-ataturk,"Live 493 Duplicate (mustafa-kemal-ataturk)"
404,"Ludwig van Beethoven",Q255,beethoven,"Internal Duplicate of Candidate #166 / Live 493 Duplicate (beethoven)"
441,"Nzinga of Ndongo and Matamba",Q467650,nzinga-of-ndongo-and-matamba,"Live 493 Duplicate (nzinga-of-ndongo-and-matamba)"
